file_name,text
img10_3d59133e-40ba-44da-938e-48f61efc8325.jpg,ដូចនេះ
img10_84558e9a-485a-432a-8e7a-418e092988fb.jpg,គេបាន
img10_ad187947-581e-424c-b944-82d2f892780d.jpg,ដោយ
img10_45b1e566-75c0-4340-ab73-8f16592acbb5.jpg,តាមរូបមន្ត
img10_d272beb7-6685-49b7-8e49-cf297745a7a4.jpg,ពេល
img10_19fa9757-84d1-4267-9261-d3cdbb5997ba.jpg,ដំណោះស្រាយ
img10_b28269d9-a483-4cfc-8baa-9f146e7feac8.jpg,គេឲ្យ
img10_9026ba68-4706-4386-8b70-f7a375756986.jpg,គណនារេស៊ីស្តង់នៃខ្សែចម្លង
img10_e3ba4e26-8431-40fc-88c9-fb660cbfd4d0.jpg,រេស៊ីស្តង់នៅខ្សែចម្លងមួយ
img10_0c269c67-b727-4ee1-bb73-42d2c4822f24.jpg,មេគុណកំដៅរេស៊ីស្តង់
img10_f3864df9-e297-4d79-a0c0-6bce81441564.jpg,រេស៊ីស្តង់នៅសីតុណ្ហភាព
img10_63c8cbaf-3123-4c21-bd7f-ee857aec5df1.jpg,រេស៊ីស្តង់អាស្រ័យសីតុណ្ហភាព
img10_bsLFB1VOOu.jpg,នៅសីតុណ្ហភាព
img10_hNgkjAYFf_.jpg,មានតម្លៃ
img10_lxPeBzE2d3.jpg,គណនា
img100_496c1098-e104-4492-9bbb-d3b27df2ce15.jpg,ធ្វើឲ្យមានការអភិវឌ្ឍរីកចម្រើន
img100_e6b75181-465e-40b9-9ee5-0733963bb2c5.jpg,ធ្វើការអប់រំកែលអ
img100_4b3a89f4-b180-4077-b2bf-1dfaa51d49df.jpg,ស្វែងយល់ពីមន្ត្រីក្បត់
img100_acc281cb-8eb3-414e-bd86-0abf3172ba43.jpg,ដឹងពីមន្ត្រីពុករលួយបក្សពួកនិយម
img100_f039b8c0-157c-4074-8890-cdbe108b8819.jpg,ប្រជារាស្ត្រក្នុងការដោះស្រាយបញ្ហា
img100_22c6cbd6-7aec-4161-b3fb-0b89e4782b61.jpg,ស្វែងយល់ពីការលំបាករបស់ប្រជារាស្រ្ត
img100_ea9551aa-52df-4f81-9f68-808496d608cb.jpg,សមាជជាតិមានសារៈសំខាន់ដូចជា
img100_3b66d8f7-1e0b-405d-a161-e3681b9e8361.jpg,ពីរដងក្នុងមួយឆ្នាំ
img100_26c5f969-f164-4a4e-9aee-18d9e83c783d.jpg,ដំបូងធ្វើឡើងម្ដងក្នុងមួយឆ្នាំតែក្រោយមកធ្វើ
img100_4c45a9ef-5114-4d07-a738-c9a888a49eb2.jpg,នរោត្តមសីហនុនៅថ្ងៃទី
img100_ce11389f-f259-424c-babc-68f1f7c30381.jpg,ជាតិនិងប្រជាជនដែលបង្កើតឡើងដោយព្រះបាទ
img100_19b33115-9ba7-42c5-9eee-8dd044de8692.jpg,ការប្រជុំទូទាំងប្រទេសដើម្បីពិភាក្សាពីបញ្ហារបស់
img100_742ebc98-f9d6-4657-bdd8-9488df4ef0a5.jpg,សមាជជាតិគឺជាមហាសន្និបាតថ្នាក់ជាតិឬជា
img100_4c62a0aa-9940-466c-b4e6-de9fd6b58ea8.jpg,គាំទ្រ
img100_b1bffffb-715f-4806-9e26-ab3577a29aa7.jpg,ឆ្នោតនៅថ្ងៃទី
img100_c157b852-5e5c-430f-8d60-dce6823a1d34.jpg,អ្នកមានគាត់ទទួលបានការជោគជ័យពីការបោះ
img100_2c13a128-92c2-4810-a352-a0b235aee410.jpg,សង្គមរាស្ត្រនិយមមានការគាំទ្រនិងបរិច្ចាកពី
img100_fb50ef83-38c2-49c8-a0d7-ba698cde54d4.jpg,លោកសមសារី
img100_54813770-1141-4ecd-98e6-014295651e51.jpg,ម្ចាស់នរិន្ទដេតលោកឃេមសំបូរនិង
img100_6ab0a50c-8f69-4d47-9f10-3a50f334bb09.jpg,ដែលមានសំឡេង
img100_VfLURkP26O.jpg,ដែលមាន
img100_bUcIo2mO1z.jpg,កញ្ញា
img100_z7oF5mq5OC.jpg,ប្រជាជនចូលរួមរហូតដល់មួយម៉ឺននាក់
img100_E7zuRT300a.jpg,សមាជជាតិ
img100_LYDgDDBOcL.jpg,កញ្ញា
img100_ZivJlO4YIC.jpg,សមាជជាតិ
img100_tw8uN8VXib.jpg,ជាតម្រូវការ
img101_34110a5f-41e3-4f91-8cc8-6fd5887cbb72.jpg,ព្រះនរោត្ដមសីហនុ
img101_fd6e35f8-5042-4e7d-9d82-a8c7532b2a26.jpg,ការឡើងកាន់អំណាចជាប្រមុខរដ្ឋរបស់សម្ដេច
img101_e6971de5-ac11-4b90-abd9-14e95dee9301.jpg,មីនា
img101_7cdc72ad-18bd-4568-b2da-6f7dfcc2aa01.jpg,ត្រូវសេនាប្រមុខលន់នល់
img101_b1684cd5-7954-43a4-a255-58e8f03587ab.jpg,ត្រជាក់បានធ្វើឲ្យរបបសង្គមរាស្ត្រនិយមត្រូវបានបញ្ចប់
img101_e77fc12d-f55b-420b-8aba-576dc658caf2.jpg,ប៉ុន្តែក្រោយមកចុះខ្សោយដោយសារសង្គ្រាម
img101_4516277c-875e-4f57-b113-6ece205b95e9.jpg,ល្បាញក្នុងតំបន់ដោយសុខសាន្តអស់រយៈពេល
img101_b403e7a0-2287-487a-ac27-46c931d3d807.jpg,នយោបាយអាព្យាក្រឹតបានធ្វើឲ្យកម្ពុជាមានភាពល្បី
img101_8f777f95-60d9-4d8e-a5f4-a5d6b23bbcd3.jpg,ប្រទេសជិតខាង
img101_28726421-2cd2-460e-860d-ef83a9616718.jpg,មោទនភាពទឹកដីនិងមិនលូកដៃចូលបញ្ហាផ្ទៃក្នុង
img101_0431d3cd-b1c3-40e6-9c8f-c4c4cac4d165.jpg,គោរពសិទ្ធិគ្នាទៅវិញទៅមកគោរពអធិបតេយ្យភាព
img101_60f9f43b-36fe-41d6-b4e4-f895dc7b5581.jpg,នយោបាយអាព្យាក្រឹតឈលើគោលការណ៍
img101_299d4132-8e65-4f68-9a95-d5a057d40ca3.jpg,សេរីនិងកុម្មុយនីសឡើយ
img101_9edddaa2-93cf-4cf7-892d-a1969a6e6523.jpg,ដោយឈរនៅកណ្ដាលមិនប្រកាន់និន្នាការនយោបាយ
img101_cedd7ff5-f0b9-41bd-ad08-4ca8e5a89bf7.jpg,សន្តិសហវិជ្ជមានជាមួយប្រទេសនានាលើពិភពលោក
